"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
0 0 0 0 0 0 0 0
-132.118761955254 -102.433905656321 0.379986047744751 0.639353969898213 2 200 1 0.668570174313456
-105.382026050419 -75.6971697514871 0.367020130157471 0.572447968272396 3 200 1 0.639130895311638
-103.790868299907 -74.1060120009745 0.31715202331543 0.608760161515516 4 200 1 0.628486492435707
-108.018768113031 -78.3339118140984 0.324134111404419 0.662313936327964 5 200 1 0.608456497509995
-109.881751328418 -80.1968950294853 0.330118179321289 0.708717258708333 6 200 1 0.590788018530052
-113.34415270278 -83.6592964038478 0.324141979217529 0.743693410477455 7 200 1 0.579740900926823
-105.744549034019 -76.0596927350864 0.320173025131226 0.730909979019651 8 200 1 0.565537892579985
-104.353645129848 -74.6687888309159 0.338101148605347 0.750136243256287 9 200 1 0.548290703698491
-98.6761844905942 -68.9913281916618 0.318149089813232 0.739014205843807 10 200 1 0.537843493837406
-94.6652893164865 -64.9804330175542 0.334105968475342 0.729080322948929 11 200 1 0.528183644488181
-91.6457246146705 -61.9608683157382 0.320101022720337 0.707949611490853 12 200 1 0.527109415946548
-89.3612628895132 -59.6764065905808 0.3330979347229 0.711825806222291 13 200 1 0.518757826332528
-88.377483626068 -58.6926273271357 0.351094007492065 0.714031462025658 14 200 1 0.507354500540925
-89.9881766434061 -60.3033203444738 0.358052015304565 0.741851682460794 15 200 1 0.500674860604822
-90.6129783304997 -60.9281220315674 0.341088056564331 0.759724515005991 16 200 1 0.495436840297488
-87.1689034280523 -57.4840471291199 0.408974885940552 0.760583236934771 17 200 1 0.486571940893764
-83.2316449922325 -53.5467886933002 0.353097915649414 0.751983716678076 18 200 1 0.482886447298293
-81.5024443349034 -51.8175880359711 0.401113986968994 0.744780477689237 19 200 1 0.480446488725002
-80.9715261586546 -51.2866698597222 0.33933687210083 0.748980746690236 20 200 1 0.468202966433607
-79.2865286438215 -49.6016723448892 0.361462116241455 0.744192575323814 21 200 1 0.459250503748046
-79.3275526315448 -49.6426963326125 0.41771388053894 0.75664818265999 22 200 1 0.451966162179467
-78.4061101661883 -48.721253867256 0.352057933807373 0.76080804659178 23 200 1 0.439598500699438
-76.8162776570582 -47.1314213581259 0.338135004043579 0.767898912676419 24 200 1 0.430066710691339
-75.9320095526398 -46.2471532537075 0.353055000305176 0.776975697191499 25 200 1 0.420678113545368
-75.6207097570607 -45.9358534581284 0.395947217941284 0.786479072589805 26 200 1 0.409935718765395
-73.499782524041 -43.8149262251087 0.359080076217651 0.781904188752584 27 200 1 0.398938760693941
-73.2929144248658 -43.6080581259335 0.362104892730713 0.794610401442717 28 200 1 0.386555822388595
-72.1401147529086 -42.4552584539762 0.389958143234253 0.799239610358708 29 200 1 0.374999099493532
-71.9070987062439 -42.2222424073116 0.381020069122314 0.807839707950149 30 200 1 0.369416499957559
-70.1467066097925 -40.4618503108602 0.409945964813232 0.800765774299141 31 200 1 0.354357701735624
-68.6470964465771 -38.9622401476447 0.395940065383911 0.795464696611491 32 200 1 0.338349998657483
-67.7451697580361 -38.0603134591037 0.428855180740356 0.792770053903507 33 200 1 0.326394610463665
-67.8604278948758 -38.1755715959434 0.479725122451782 0.792515403408146 34 200 1 0.318249557276734
-65.6969477264573 -36.012091427525 0.474732160568237 0.779564839464308 35 200 1 0.313451905569627
-63.7310168781504 -34.0461605792181 0.46378493309021 0.739766786216521 36 200 1 0.302438816192993
-63.3065448411891 -33.6216885422567 0.438827037811279 0.706061231206947 37 200 1 0.296709095018585
-62.2979011728627 -32.6130448739304 0.409905910491943 0.689555930419752 38 200 1 0.288529376896338
-60.9193623704025 -31.2345060714701 0.47470498085022 0.675693454439175 39 200 1 0.275030892088544
-59.2270589799446 -29.5422026810123 0.460768938064575 0.662922395343177 40 200 1 0.263731866780534
-58.2577421766414 -28.5728858777091 0.531596183776855 0.641941947024927 41 200 1 0.255433760602872
-57.3844914002149 -27.6996351012826 0.467024087905884 0.644088299385641 42 200 1 0.246726495602771
-56.5522641046272 -26.8674078056949 0.483043193817139 0.622719008954593 43 200 1 0.233953472930764
-55.5318729558613 -25.847016656929 0.451452970504761 0.583296897235657 44 200 1 0.225925910782612
-54.047587516849 -24.3627312179167 0.520366907119751 0.593273250847573 45 200 1 0.21487507344673
-53.0150846716771 -23.3302283727448 0.494323015213013 0.577715526812677 46 200 1 0.206272549521583
-51.9813084946671 -22.2964521957348 0.483522891998291 0.530987733642278 47 200 1 0.201997535730324
-52.1869885257734 -22.502132226841 0.582442998886108 0.501799566202312 48 200 1 0.194178702119602
-50.3953559346524 -20.71049963572 0.498993873596191 0.483764482681442 49 200 1 0.194664755752846
-49.0398992279122 -19.3550429289799 0.464797019958496 0.337118163568256 50 200 1 0.192925763043323
-483.252811555868 -453.567955256936 0.39992880821228 0.592675435411467 2 200 51 0.685963948448503
-498.338137020639 -468.653280721707 0.373008012771606 0.668986987897113 3 200 51 0.685957779554691
-496.430596178054 -466.745739879122 0.389957904815674 0.700862794669009 4 200 51 0.671839800230555
-499.880062838026 -470.195206539094 0.418880939483643 0.748373955484288 5 200 51 0.678966197849562
-509.132258981873 -479.447402682941 0.498095989227295 0.801979156848457 6 200 51 0.667509165228753
-515.978877437189 -486.294021138256 0.576457977294922 0.839349835162818 7 200 51 0.655329541734151
-520.239367935011 -490.554511636079 0.561499118804932 0.864933579395117 8 200 51 0.647713782646991
-522.572381557861 -492.887525258928 0.508641004562378 0.88823670277807 9 200 51 0.648408040699442
-513.913639773124 -484.228783474192 0.406908988952637 0.890203062715529 10 200 51 0.642761441559288
-509.36006344693 -479.675207147998 0.422868013381958 0.90004157150402 11 200 51 0.640538191025863
-513.185797541285 -483.500941242352 0.494678020477295 0.909563982122429 12 200 51 0.633625538816016
-507.534447680538 -477.849591381605 0.466755151748657 0.917715607972879 13 200 51 0.626543995268492
-500.602506897054 -470.917650598122 0.414894819259644 0.921841697147062 14 200 51 0.611387856663445
-493.03138523647 -463.346528937538 0.482720136642456 0.923277017989255 15 200 51 0.609169986981509
-492.579776736595 -462.894920437662 0.478729963302612 0.928804952625378 16 200 51 0.600879744703296
-489.801208551941 -460.116352253009 0.479716777801514 0.933439916656636 17 200 51 0.592415731650483
-485.31887249612 -455.634016197187 0.456084966659546 0.931814706818634 18 200 51 0.582652827446315
-476.28042725413 -446.595570955197 0.452790975570679 0.927102506486274 19 200 51 0.571945150412223
-473.219623473813 -443.53476717488 0.471742153167725 0.928046228084434 20 200 51 0.559858381069218
-467.778872060993 -438.094015762061 0.478718996047974 0.923796534749885 21 200 51 0.552374658174937
-465.657943639021 -435.973087340089 0.463122129440308 0.926963240212439 22 200 51 0.539996457454821
-460.502601901553 -430.817745602621 0.546741962432861 0.922852438561734 23 200 51 0.530360759707277
-454.507477366372 -424.822621067439 0.490868091583252 0.916859774320872 24 200 51 0.522480318121649
-453.173023543657 -423.488167244724 0.477039098739624 0.916780983365673 25 200 51 0.512885325796073
-452.368663946608 -422.683807647676 0.502385854721069 0.915358780853192 26 200 51 0.501336683058793
-445.889152153553 -416.204295854621 0.567681074142456 0.905408302570949 27 200 51 0.487824198930589
-439.607159710918 -409.922303411986 0.51761794090271 0.895610393671166 28 200 51 0.473173556658513
-436.03092146657 -406.346065167638 0.46555495262146 0.888936813563121 29 200 51 0.457117851100108
-430.165469024254 -400.480612725322 0.485866785049438 0.873643127138717 30 200 51 0.44427970427602
-424.091084601715 -394.406228302783 0.486430883407593 0.848470258568355 31 200 51 0.434217322877217
-422.035973335556 -392.351117036624 0.505800008773804 0.842191260666958 32 200 51 0.422784122999418
-418.360481512827 -388.675625213895 0.517407178878784 0.824172097250356 33 200 51 0.410478088400418
-415.412195602402 -385.72733930347 0.515574932098389 0.814090319731593 34 200 51 0.396326078815271
-413.913070937347 -384.228214638414 0.536715984344482 0.807085658661123 35 200 51 0.382451605123493
-410.443924544537 -380.759068245604 0.464568138122559 0.783726883934093 36 200 51 0.374142616905598
-408.123576379225 -378.438720080293 0.49680495262146 0.761107577635396 37 200 51 0.367198546621632
-406.98436191811 -377.299505619178 0.509562969207764 0.751663037481077 38 200 51 0.353048286604251
